League,Round,Home,Away,Goals Home,Goals Away
West,1,Belgrade Saint Germain,Hiperventilacija,10,9
West,1,Sremcica,Sestari,5,0
West,1,Fantazija stogod,Alkohol Junajted,5,0
West,2,Hiperventilacija,Sremcica,11,16
West,2,Alkohol Junajted,Sestari,5,0
West,2,Fantazija stogod,Belgrade Saint Germain,7,12
West,3,Hiperventilacija,Fantazija stogod,8,7
West,3,Sremcica,Alkohol Junajted,16,14
West,3,Sestari,Belgrade Saint Germain,0,5
West,4,Belgrade Saint Germain,Alkohol Junajted
West,4,Sestari,Hiperventilacija,0,5
West,4,Fantazija stogod,Sremcica,7,3
West,5,Fantazija stogod,Sestari,5,0
West,5,Alkohol Junajted,Hiperventilacija,7,7
West,5,Sremcica,Belgrade Saint Germain,5,0
West,6,Sestari,Sremcica
West,6,Hiperventilacija,Belgrade Saint Germain
West,6,Alkohol Junajted,Fantazija stogod
West,7,Sremcica,Hiperventilacija
West,7,Sestari,Alkohol Junajted
West,7,Belgrade Saint Germain,Fantazija stogod
West,8,Alkohol Junajted,Sremcica
West,8,Fantazija stogod,Hiperventilacija
West,8,Belgrade Saint Germain,Sestari
West,9,Sremcica,Fantazija stogod
West,9,Alkohol Junajted,Belgrade Saint Germain
West,9,Hiperventilacija,Sestari
West,10,Belgrade Saint Germain,Sremcica
West,10,Sestari,Fantazija stogod
West,10,Hiperventilacija,Alkohol Junajted
East,1,Vozdovac,Anchorage,5,8
East,1,Kufa,Legija stranaca,4,7
East,1,Crveni djavoli,Lekino United,19,11
East,2,Legija stranaca,Vozdovac,4,8
East,2,Lekino United,Anchorage,8,9
East,2,Crveni djavoli,Kufa,12,3
East,3,Vozdovac,Lekino United,5,7
East,3,Legija stranaca,Crveni djavoli,4,12
East,3,Anchorage,Kufa,5,9
East,4,Kufa,Lekino United,6,4
East,4,Crveni djavoli,Vozdovac,4,4
East,4,Anchorage,Legija stranaca,5,12
East,5,Vozdovac,Kufa,6,3
East,5,Lekino United,Legija stranaca,9,8
East,5,Crveni djavoli,Anchorage,10,5
East,6,Anchorage,Vozdovac
East,6,Legija stranaca,Kufa
East,6,Lekino United,Crveni djavoli
East,7,Vozdovac,Legija stranaca
East,7,Anchorage,Lekino United
East,7,Kufa,Crveni djavoli
East,8,Lekino United,Vozdovac
East,8,Crveni djavoli,Legija stranaca
East,8,Kufa,Anchorage
East,9,Vozdovac,Crveni djavoli
East,9,Lekino United,Kufa
East,9,Legija stranaca,Anchorage
East,10,Kufa,Vozdovac
East,10,Anchorage,Crveni djavoli
East,10,Legija stranaca,Lekino United
